,Avant-Garde,Blues,Classical,Comedy/Spoken,Country,Easy Listening,Electronic,Folk,International,Jazz,Latin,New Age,Pop/Rock,R&B;,Reggae,Religious,Stage & Screen,Vocal
count,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
mean,0.2153846153846154,0.13784313725490194,0.19454545454545452,0.16086956521739132,0.11793103448275863,0.1945454545454545,0.12873786407766988,0.13915789473684212,0.14472222222222225,0.11833333333333332,0.1304093567251462,0.17210526315789476,0.10923351158645278,0.11420029895366218,0.12833333333333333,0.14314606741573033,0.16,0.1287179487179487
std,0.056033181468052584,0.02421065945074332,0.045952742890789954,0.03344822861574226,0.009682871534309285,0.04862764993986767,0.014488282781914668,0.019524565571341614,0.02175131728141876,0.008091796540982795,0.016123858868520285,0.02970162739113335,0.0030701638651594674,0.0077405803802655816,0.014255369005306398,0.021631856287527642,0.024243661069253058,0.01569330977055818
min,0.15384615384615385,0.09803921568627451,0.13636363636363635,0.10869565217391304,0.09852216748768473,0.13636363636363635,0.10194174757281553,0.09473684210526316,0.1111111111111111,0.10294117647058823,0.0935672514619883,0.10526315789473684,0.10160427807486631,0.1031390134529148,0.10416666666666667,0.10112359550561797,0.12,0.09615384615384616
25%,0.15384615384615385,0.11764705882352941,0.18181818181818182,0.1358695652173913,0.11330049261083744,0.18181818181818182,0.12135922330097088,0.12631578947368421,0.125,0.11274509803921569,0.12280701754385964,0.15789473684210525,0.10695187165775401,0.10911808669656203,0.11805555555555555,0.12359550561797752,0.14,0.11538461538461539
50%,0.23076923076923078,0.1323529411764706,0.18181818181818182,0.15217391304347827,0.11822660098522167,0.18181818181818182,0.1262135922330097,0.1368421052631579,0.1388888888888889,0.11764705882352941,0.1286549707602339,0.18421052631578946,0.10944741532976827,0.11210762331838565,0.125,0.14606741573033707,0.16,0.1282051282051282
75%,0.23076923076923078,0.14705882352941177,0.22727272727272727,0.17391304347826086,0.12315270935960591,0.22727272727272727,0.13592233009708737,0.14736842105263157,0.1527777777777778,0.125,0.14035087719298245,0.18421052631578946,0.11158645276292335,0.11808669656203288,0.13194444444444445,0.15730337078651685,0.18,0.14102564102564102
max,0.38461538461538464,0.20588235294117646,0.3181818181818182,0.2608695652173913,0.14039408866995073,0.3181818181818182,0.17475728155339806,0.17894736842105263,0.19444444444444445,0.13970588235294118,0.1695906432748538,0.23684210526315788,0.11515151515151516,0.13602391629297458,0.16666666666666666,0.19101123595505617,0.2,0.16666666666666666
